id,title,revenue,vote_average,imdb_id,original_title,overview,popularity,poster_path,genres,keywords
941019,LOLA,0,6.6,tt11366674,LOLA,"Sussex, England, 1938. Shortly before the outbreak of World War II, Thomasina and Martha Hanbury, two ingenious sisters, create LOLA, a miraculous machine.",3.025,/6IQEDnHKMvzforhtQW9mwW5kSHB.jpg,"Drama, Science Fiction, War","sibling relationship, cinema on cinema, dystopia, world war ii, found footage, alternate timeline, orphan siblings, uchronia, whimsical"
1180445,Ahasss,0,4.8,tt29438301,Ahasss,"Jake, a young houseboy, falls for his boss' battered wife. As he helps her escape from her abusive husband, things get wild, messy, and bloody.",3.163,/lorMjouSKmoJQGG9vIMtXkka5r5.jpg,"Thriller, Drama",
1186679,Gondola,0,8.2,tt15289596,Gondola,"In the Georgian mountains, a cable car connects a village with a smaller town in the valley. Iva started working for the cable car as a conductor and is now in charge of handling the gondolas. While one gondola goes up to the village, the other goes down to the valley. Halfway down, the gondolas meet every half hour. This is exactly the moment when Iva and Nina, the conductor of the other gondola, meet each time. Where at the beginning only collegial greetings were exchanged, over time a flirtation develops. What follows is the big love and stress with the boss.",1.893,/y8o7xiLvwk3gFUzeGg3alTejKqB.jpg,Drama,"lesbian relationship, mute, georgia europe"
1182297,Strictly Confidential,0,5.8,tt22805652,Strictly Confidential,"A haunted young woman finds herself drawn into a world of seduction, duplicity and betrayal as she desperately tries to uncover the mystery surrounding her best friend's suicide.",1.887,/zkOuvoomDuzuV6jHGyUZZwP9ijL.jpg,"Mystery, Thriller","suicide, seduction, erotic thriller, sex, mystery"
610411,Erik Stoneheart,13877,5.9,tt20247118,Erik Kivisüda,"Erik is convinced he has a stone for a heart. That’s why he doesn’t mind that his parents have no time for him, or that he is bullied at school, or that he has no real friends. When his family moves to a villa they inherited, he is confronted by Maria whom Erik's parents want to kick out along with her father. Maria refuses to move and promises to make Erik's life a living hell. As a last attempt to defeat Erik, Maria goes to look for her mother who disappeared two years ago. Together they end up on a fantastical journey to the In-Between-World and Erik learns how hard it really is to wear a heart of stone.",1.886,/38Sq6aBAwx3hmUAuuyqZu8AjH3Y.jpg,"Family, Adventure, Fantasy",
560016,Monkey Man,35271631,6.9,tt9214772,Monkey Man,"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",11.285,/4lhR4L2vzzjl68P1zJyCH755Oz4.jpg,"Action, Thriller","indian, revenge thriller, action thriller, suspenseful, night club"
89,Indiana Jones and the Last Crusade,474171806,7.8,tt0097576,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",11.145,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,"Adventure, Action","saving the world, nazi, holy grail, venice, italy, entrapment, crusader, germany, riddle, brotherhood, zeppelin, tank, book burning, nazi officer, boat chase, gestapo, single father, traveling circus, archaeologist, bible quote, medieval, boy scouts, german soldier, motorcycle chase, hindenburg, german agent, 1930s, biblical archaeology, father son relationship, adolf hitler, knights templar, nazi germany, the crusades"
634,Bridget Jones's Diary,281929795,6.7,tt0243155,Bridget Jones's Diary,"Bridget Jones is an average woman struggling against her age, her weight, her job, her lack of a man, and her various imperfections. As a New Year's resolution, Bridget decides to take control of her life, starting by keeping a diary in which she will always tell the complete truth. The fireworks begin when her charming though disreputable boss takes an interest in the quirky Miss Jones. Thrown into the mix are Bridget's band of slightly eccentric friends and a rather disagreeable acquaintance into whom Bridget cannot seem to stop running or help finding quietly attractive.",10.9,/dkauRl9TosBFikftrC3OVcKWDoz.jpg,"Comedy, Romance, Drama","daughter, london, england, lovesickness, england, sexual frustration, alcohol, parent child relationship, telecaster, birthday, cigarette, diary, lawyer, reporter, extramarital affair, duringcreditsstinger, woman director"
914215,Humane,0,5.3,tt16280912,Humane,"In the wake of an environmental collapse that has forced humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry.",10.84,/ecOvKaoM1hwQbp0uTnULGrSV32e.jpg,"Thriller, Horror, Science Fiction","dystopia, dark comedy, suicide of father, inheritance, family drama, cat and mouse, tongue in cheek, family conflict, euthanasia, near future, environmental collapse, bewildered"
1397854,The Love Scam,0,6.5,tt34896285,Mica è Colpa Mia,"Drowning in debt, two brothers concoct a plan to scam a wealthy heiress and save their home in Naples — but unexpected love soon complicates the scheme.",10.82,/kWBjdB6tP71ed4WTFxuqDZnWVk5.jpg,"Comedy, Romance","con man, love story, emotional, romantic, goofy"
